Division into Teams,179,"temka,Division into Teams,1,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""greedy,math,sortings""
"
Martian Strings,180,"scipianus,Martian Strings,0,E,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,""string suffix structures,strings""
"
Coloring Brackets,181,"fun10_x_int40_Ir2,Coloring Brackets,1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dp
"
Win or Freeze,182,"Sammarize,Win or Freeze,0,A,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""games,number theory""
"
Quantity of Strings,183,"Sammarize,Quantity of Strings,1,B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,""combinatorics,dfs and similar,math""
"
Smart Cheater,184,"Sammarize,Smart Cheater,1,C,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,""data structures,math,probabilities""
"
Mission Impassable,185,"Petr,Mission Impassable,1,D,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,dp
"
Freezing with Style,186,"meret,Freezing with Style,1,E,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,""binary search,data structures,divide and conquer,trees""
"
Soft Drinking,187,"Al3kSaNdaR,Soft Drinking,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Phone Numbers,188,"Al3kSaNdaR,Phone Numbers,1,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""implementation,strings""
"
Marks,189,"sillycross,Marks,1,A,1,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,implementation
"
Pocket Book,190,"Aman,Pocket Book,0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,combinatorics
"
Steps,191,"Aman,Steps,1,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""binary search,implementation""
"
